codigo_ibge6,drs_numero,drs_nome
355490,15,São José do Rio Preto
355495,07,Campinas
355500,09,Marília
355510,11,Presidente Prudente
355520,02,Araçatuba
355530,15,São José do Rio Preto
355535,15,São José do Rio Preto
355540,17,Taubaté
355550,09,Marília
355560,15,São José do Rio Preto
355570,15,São José do Rio Preto
355580,15,São José do Rio Preto
355590,06,Bauru
355600,15,São José do Rio Preto
355610,15,São José do Rio Preto
355620,07,Campinas
355630,02,Araçatuba
355635,07,Campinas
355640,14,São João da Boa Vista
355645,01,Grande São Paulo
355650,07,Campinas
355660,09,Marília
355670,07,Campinas
355680,05,Barretos
355690,05,Barretos
355695,15,São José do Rio Preto
355700,16,Sorocaba
355710,15,São José do Rio Preto
355715,15,São José do Rio Preto
355720,09,Marília
355730,14,São João da Boa Vista
